metric_name	Entire Run	50918036C_HPSID_002_L1	50918124C_HPSID_004_L1	50918402C_HPSID_005_L1	50918538C_HPSID_006_L1	50918870C_HPSID_007_L1	50918871C_HPSID_008_L1	50918872C_HPSID_010_L1	50918873C_HPSID_011_L1	50919226C_HPSID_012_L1	50919228C_HPSID_013_L1	50919229C_HPSID_014_L1	50919232C_HPSID_015_L1	50919286C_HPSID_016_L1	50919291C_HPSID_017_L1	50919762C_HPSID_018_L1	50919764C_HPSID_019_L1	50919765C_HPSID_020_L1	50921887C_HPSID_021_L1	50921888C_HPSID_022_L1	50921890C_HPSID_023_L1	50921891C_HPSID_024_L1	50921894C_HPSID_025_L1	50922308C_HPSID_026_L1	50922842C_HPSID_027_L1	50922843C_HPSID_028_L1	50922845C_HPSID_029_L1	50923318C_HPSID_030_L1	50923325C_HPSID_031_L1	50923326C_HPSID_032_L1	50923328C_HPSID_033_L1	50923756C_HPSID_034_L1	50923758C_HPSID_035_L1	50923759C_HPSID_036_L1	50923760C_HPSID_037_L1	50923762C_HPSID_038_L1	50924230C_HPSID_039_L1	50924575C_HPSID_042_L1	50924582C_HPSID_043_L1	50924600C_HPSID_044_L1	50925090C_HPSID_046_L1	50925091C_HPSID_047_L1	50925093C_HPSID_048_L1	50925096C_HPSID_050_L1	50925512C_HPSID_051_L1	50925513C_HPSID_052_L1	50925514C_HPSID_053_L1
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/low_quality_reads	NA	48	53	75	98	57	36	50	203	28	45	60	61	58	26	66	55	70	33	43	64	41	87	64	57	42	61	66	84	86	71	81	54	65	55	50	67	147	41	37	48	27	80	62	57	83	115
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/mean_spanning_coverage	NA	16	18	25	33	19	12	17	68	9	15	20	20	19	9	22	18	23	11	14	21	14	29	21	19	14	20	22	28	29	24	27	18	22	18	17	22	49	14	12	16	9	27	21	19	28	38
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/percentage_discordant	NA	23.622047%	22.222222%	21.890547%	23.809524%	22.727273%	21.008403%	28.099174%	25.563910%	16.346154%	27.868852%	29.710145%	20.975610%	23.170732%	25.287356%	23.437500%	25.157233%	33.974359%	25.210084%	19.841270%	25.000000%	24.299065%	25.691700%	25.698324%	22.222222%	21.167883%	23.841060%	24.157303%	26.008969%	31.313131%	20.634921%	26.315789%	29.870130%	22.972973%	27.329193%	30.645161%	26.630435%	24.553571%	23.255814%	28.703704%	20.125786%	21.111111%	19.512195%	23.036649%	27.118644%	21.011673%	26.297578%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/percentage_effective	NA	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.187970%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.523560%	0.000000%	0.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/percentage_low_quality	NA	37.795276%	32.716049%	37.313433%	38.888889%	37.012987%	30.252101%	41.322314%	38.157895%	26.923077%	36.885246%	43.478261%	29.756098%	35.365854%	29.885057%	34.375000%	34.591195%	44.871795%	27.731092%	34.126984%	34.042553%	38.317757%	34.387352%	35.754190%	35.185185%	30.656934%	40.397351%	37.078652%	37.668161%	43.434343%	37.566138%	38.755981%	35.064935%	29.279279%	34.161491%	40.322581%	36.413043%	32.812500%	31.782946%	34.259259%	30.188679%	30.000000%	32.520325%	32.460733%	32.203390%	32.295720%	39.792388%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/percentage_spanning	NA	37.795276%	32.716049%	37.313433%	38.888889%	37.012987%	30.252101%	41.322314%	38.345865%	26.923077%	36.885246%	43.478261%	29.756098%	35.365854%	29.885057%	34.375000%	34.591195%	44.871795%	27.731092%	34.126984%	34.042553%	38.317757%	34.387352%	35.754190%	35.185185%	30.656934%	40.397351%	37.078652%	37.668161%	43.434343%	37.566138%	38.755981%	35.064935%	29.279279%	34.161491%	40.322581%	36.413043%	32.812500%	31.782946%	34.259259%	30.188679%	30.000000%	32.520325%	32.984293%	32.203390%	32.295720%	39.792388%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/phred	NA	NA	NA	NA	NA	NA	NA	NA	93.000000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.000000	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/spanning_reads	NA	48	53	75	98	57	36	50	204	28	45	60	61	58	26	66	55	70	33	43	64	41	87	64	57	42	61	66	84	86	71	81	54	65	55	50	67	147	41	37	48	27	80	63	57	83	115
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/29/total_reads	NA	127	162	201	252	154	119	121	532	104	122	138	205	164	87	192	159	156	119	126	188	107	253	179	162	137	151	178	223	198	189	209	154	222	161	124	184	448	129	108	159	90	246	191	177	257	289
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/deletion_error_rate	NA	0.465116%	0.000000%	0.302572%	0.428571%	0.313643%	0.627615%	0.523560%	0.377537%	0.683304%	0.222222%	0.598802%	0.000000%	0.000000%	0.573751%	0.000000%	0.431034%	0.097466%	0.135685%	0.000000%	0.167224%	0.180018%	0.174520%	0.357782%	0.000000%	0.717690%	0.000000%	0.000000%	0.000000%	0.000000%	0.219780%	0.143266%	0.000000%	0.000000%	0.000000%	0.381679%	0.000000%	0.236192%	0.347826%	0.887574%	0.482094%	0.704894%	0.000000%	0.058685%	0.155280%	0.269300%	0.226757%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/discordant_reads	NA	74	76	93	115	148	85	57	252	1135	80	70	79	76	217	69	132	333	117	64	134	178	158	101	122	1305	82	81	467	101	97	109	101	112	83	96	81	435	72	89	142	592	165	267	114	212	214
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/effective_reads	NA	215	245	661	700	1913	478	382	2119	30294	450	501	455	129	4183	105	696	3078	737	137	598	4444	573	559	688	35252	473	350	9365	602	455	698	1065	253	249	262	233	5504	575	676	1452	14754	1637	5112	644	1114	882
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/effective_reads_with_deletion	NA	1	0	2	3	6	3	2	8	207	1	3	0	0	24	0	3	3	1	0	1	8	1	2	0	253	0	0	0	0	1	1	0	0	0	1	0	13	2	6	7	104	0	3	1	3	2
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/effective_reads_with_insertion	NA	2	1	1	1	2	1	1	2	90	0	0	0	0	11	0	4	0	2	1	2	11	1	1	2	82	0	0	0	1	1	1	0	1	0	1	0	4	1	2	3	37	0	2	1	1	4
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/effective_reads_with_substitution	NA	34	32	122	65	179	63	52	230	6001	63	87	57	3	804	1	107	90	59	9	71	382	77	81	96	7017	70	15	32	80	39	75	72	20	15	30	22	260	52	76	284	2988	75	158	85	84	50
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/hp_count	NA	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256	20947256
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/indel_error_rate	NA	1.395349%	0.408163%	0.453858%	0.571429%	0.418191%	0.836820%	0.785340%	0.471921%	0.980392%	0.222222%	0.598802%	0.000000%	0.000000%	0.836720%	0.000000%	1.005747%	0.097466%	0.407056%	0.729927%	0.501672%	0.427543%	0.349040%	0.536673%	0.290698%	0.950301%	0.000000%	0.000000%	0.000000%	0.166113%	0.439560%	0.286533%	0.000000%	0.395257%	0.000000%	0.763359%	0.000000%	0.308866%	0.521739%	1.183432%	0.688705%	0.955673%	0.000000%	0.097809%	0.310559%	0.359066%	0.680272%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/insertion_error_rate	NA	0.930233%	0.408163%	0.151286%	0.142857%	0.104548%	0.209205%	0.261780%	0.094384%	0.297089%	0.000000%	0.000000%	0.000000%	0.000000%	0.262969%	0.000000%	0.574713%	0.000000%	0.271370%	0.729927%	0.334448%	0.247525%	0.174520%	0.178891%	0.290698%	0.232611%	0.000000%	0.000000%	0.000000%	0.166113%	0.219780%	0.143266%	0.000000%	0.395257%	0.000000%	0.381679%	0.000000%	0.072674%	0.173913%	0.295858%	0.206612%	0.250779%	0.000000%	0.039124%	0.155280%	0.089767%	0.453515%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/low_quality_reads	NA	186	198	389	439	1231	286	206	1530	15285	256	327	376	192	2226	153	529	1241	400	153	488	2076	479	313	471	14539	369	283	3859	434	385	533	514	275	244	241	258	2600	328	395	638	7240	998	2872	452	812	728
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/percentage_discordant	NA	12.585034%	11.746522%	6.971514%	7.210031%	4.157303%	8.534137%	7.421875%	5.459272%	2.354918%	8.839779%	6.737247%	6.942004%	13.793103%	3.166496%	13.663366%	8.560311%	7.126043%	8.515284%	14.317673%	9.598854%	2.575977%	10.941828%	8.883026%	8.549404%	2.477268%	7.502287%	8.794788%	3.345752%	7.616893%	8.158116%	7.045895%	5.633017%	13.691932%	10.935441%	13.540197%	10.960758%	4.873950%	6.691450%	6.980392%	5.933974%	2.538485%	5.467197%	3.163882%	8.450704%	9.102619%	10.479922%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/percentage_effective	NA	36.564626%	37.867079%	49.550225%	43.887147%	53.735955%	47.991968%	49.739583%	45.905546%	62.854535%	49.723757%	48.219442%	39.982425%	23.411978%	61.038961%	20.792079%	45.136187%	65.867751%	53.639010%	30.648770%	42.836676%	64.312590%	39.681440%	49.164468%	48.213034%	66.918506%	43.275389%	38.002172%	67.094140%	45.399698%	38.267452%	45.119586%	59.397658%	30.929095%	32.806324%	36.953456%	31.529093%	61.669468%	53.438662%	53.019608%	60.676975%	63.264869%	54.241219%	60.575898%	47.739066%	47.831687%	43.192948%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/percentage_low_quality	NA	31.632653%	30.602782%	29.160420%	27.523511%	34.578652%	28.714859%	26.822917%	33.145581%	31.713592%	28.287293%	31.472570%	33.040422%	34.845735%	32.482125%	30.297030%	34.306096%	26.556816%	29.112082%	34.228188%	34.957020%	30.043415%	33.171745%	27.528584%	33.006307%	27.599233%	33.760293%	30.727470%	27.647227%	32.730015%	32.380151%	34.453782%	28.667038%	33.618582%	32.147563%	33.991537%	34.912043%	29.131653%	30.483271%	30.980392%	26.661095%	31.044981%	33.068257%	34.032468%	33.506301%	34.864749%	35.651322%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/percentage_spanning	NA	68.197279%	68.469861%	78.785607%	71.536050%	88.426966%	76.706827%	77.083333%	79.311092%	94.939519%	78.232044%	79.884504%	73.110721%	58.257713%	93.710784%	51.089109%	79.571984%	92.445966%	82.823872%	64.876957%	78.151862%	94.515195%	72.853186%	76.781003%	81.219341%	94.855635%	77.035682%	68.729642%	94.741367%	78.355958%	70.731707%	79.702650%	88.287786%	64.547677%	65.217391%	70.944993%	66.441137%	90.834734%	83.921933%	84.235294%	87.630589%	94.661464%	87.309476%	95.674843%	81.319496%	82.739373%	79.089128%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/phred	NA	18.553172	23.891661	23.430802	22.430380	23.786250	20.773679	21.049421	23.261310	20.086002	26.532125	22.227165	93.000000	93.000000	20.774198	93.000000	19.975112	30.111474	23.903462	21.367206	22.995799	23.690204	24.571246	22.702906	25.365584	20.221390	93.000000	93.000000	93.000000	27.795965	23.569814	25.428254	93.000000	24.031205	93.000000	21.172713	93.000000	25.102295	22.825466	19.268567	21.619666	20.196907	93.000000	30.096208	25.078559	24.448252	21.673173
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/spanning_reads	NA	401	443	1051	1141	3148	764	592	3661	45758	708	830	832	321	6422	258	1227	4320	1138	290	1091	6531	1052	873	1159	49969	842	633	13224	1039	841	1233	1583	528	495	503	491	8107	903	1074	2097	22076	2635	8074	1097	1927	1615
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/3/total_reads	NA	588	647	1334	1595	3560	996	768	4616	48197	905	1039	1138	551	6853	505	1542	4673	1374	447	1396	6910	1444	1137	1427	52679	1093	921	13958	1326	1189	1547	1793	818	759	709	739	8925	1076	1275	2393	23321	3018	8439	1349	2329	2042
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/deletion_error_rate	NA	NA	NA	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/discordant_reads	NA	92	102	113	204	109	85	89	364	48	72	81	121	115	35	133	136	117	102	74	119	87	168	98	116	73	93	119	182	123	176	127	87	152	123	92	118	264	68	82	107	62	118	118	94	185	186
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/effective_reads	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/hp_count	NA	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/indel_error_rate	NA	NA	NA	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/insertion_error_rate	NA	NA	NA	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/low_quality_reads	NA	139	136	154	310	150	117	128	574	56	112	119	186	165	49	190	183	174	156	106	178	120	253	149	168	98	135	176	253	192	243	194	136	232	169	126	180	390	95	128	150	86	193	180	135	273	259
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/mean_spanning_coverage	NA	70	68	77	156	75	58	64	287	28	56	60	93	82	24	95	92	87	78	53	89	60	126	74	84	49	68	88	126	96	122	97	68	116	84	63	90	195	48	64	75	43	96	90	68	136	130
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/percentage_discordant	NA	46.700508%	43.220339%	49.130435%	40.556660%	43.253968%	43.814433%	47.089947%	40.088106%	42.105263%	39.344262%	44.262295%	41.156463%	44.573643%	37.634409%	41.049383%	51.320755%	42.238267%	43.404255%	41.807910%	40.893471%	42.857143%	40.095465%	38.582677%	41.877256%	45.341615%	41.150442%	43.911439%	45.614035%	41.979522%	46.808511%	44.405594%	39.013453%	43.304843%	45.724907%	45.771144%	39.730640%	43.137255%	45.945946%	39.234450%	44.214876%	40.789474%	37.820513%	42.446043%	43.119266%	44.794189%	43.255814%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/percentage_effective	NA	0.000000%	0.000000%	0.000000%	0.198807%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/percentage_low_quality	NA	70.558376%	57.627119%	66.956522%	61.630219%	59.523810%	60.309278%	67.724868%	63.215859%	49.122807%	61.202186%	65.027322%	63.265306%	63.953488%	52.688172%	58.641975%	69.056604%	62.815884%	66.382979%	59.887006%	61.168385%	59.113300%	60.381862%	58.661417%	60.649819%	60.869565%	59.734513%	64.944649%	63.408521%	65.529010%	64.627660%	67.832168%	60.986547%	66.096866%	62.825279%	62.686567%	60.606061%	63.725490%	64.189189%	61.244019%	61.983471%	56.578947%	61.858974%	64.748201%	61.926606%	66.101695%	60.232558%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/percentage_spanning	NA	70.558376%	57.627119%	66.956522%	61.829026%	59.523810%	60.309278%	67.724868%	63.215859%	49.122807%	61.202186%	65.027322%	63.265306%	63.953488%	52.688172%	58.641975%	69.056604%	62.815884%	66.382979%	59.887006%	61.168385%	59.113300%	60.381862%	58.661417%	60.649819%	60.869565%	59.734513%	64.944649%	63.408521%	65.529010%	64.627660%	67.832168%	60.986547%	66.096866%	62.825279%	62.686567%	60.606061%	63.725490%	64.189189%	61.244019%	61.983471%	56.578947%	61.858974%	64.748201%	61.926606%	66.101695%	60.232558%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/phred	NA	NA	NA	NA	93.000000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/spanning_reads	NA	139	136	154	311	150	117	128	574	56	112	119	186	165	49	190	183	174	156	106	178	120	253	149	168	98	135	176	253	192	243	194	136	232	169	126	180	390	95	128	150	86	193	180	135	273	259
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/30/total_reads	NA	197	236	230	503	252	194	189	908	114	183	183	294	258	93	324	265	277	235	177	291	203	419	254	277	161	226	271	399	293	376	286	223	351	269	201	297	612	148	209	242	152	312	278	218	413	430
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/4/deletion_error_rate	NA	1.724138%	0.000000%	0.000000%	0.680272%	0.436681%	1.941748%	0.000000%	0.282087%	1.538677%	4.545455%	0.877193%	0.000000%	0.000000%	1.269531%	0.000000%	0.746269%	0.144300%	0.694444%	0.000000%	2.142857%	0.292113%	0.787402%	0.943396%	1.428571%	1.296027%	0.000000%	0.000000%	0.091701%	0.000000%	0.000000%	1.675978%	0.787402%	0.000000%	0.000000%	0.000000%	0.000000%	0.386100%	0.000000%	1.492537%	1.671309%	1.192788%	0.000000%	1.595745%	0.793651%	0.369004%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/4/discordant_reads	NA	7	8	13	16	36	7	8	111	397	10	8	15	14	54	12	18	50	9	3	19	64	21	13	23	500	10	13	159	22	12	19	17	11	9	4	8	103	13	12	22	191	35	32	11	31	19
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/4/effective_reads	NA	58	254	128	147	229	103	78	2127	7149	110	114	90	14	1024	15	134	693	144	23	140	1027	127	106	140	8256	91	92	2181	145	59	179	254	61	37	50	37	1295	124	201	359	3605	357	188	126	271	160
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/4/effective_reads_with_deletion	NA	1	0	0	1	1	2	0	6	110	5	1	0	0	13	0	1	1	1	0	3	3	1	1	2	107	0	0	2	0	0	3	2	0	0	0	0	5	0	3	6	43	0	3	1	1	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/4/effective_reads_with_insertion	NA	1	1	3	0	1	0	0	0	40	1	1	0	0	5	0	0	0	1	0	0	2	1	0	0	36	0	0	1	1	1	0	0	0	0	0	1	1	1	0	1	23	0	1	0	1	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/4/effective_reads_with_substitution	NA	15	3	31	22	81	17	21	74	1996	25	42	22	1	291	0	27	27	27	2	16	102	19	25	19	2256	26	3	10	33	9	25	29	5	9	9	6	89	15	22	97	964	18	44	31	45	15
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/4/hp_count	NA	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729	5084729
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/4/indel_error_rate	NA	3.448276%	0.393701%	2.343750%	0.680272%	0.873362%	1.941748%	0.000000%	0.282087%	2.098196%	5.454545%	1.754386%	0.000000%	0.000000%	1.757812%	0.000000%	0.746269%	0.144300%	1.388889%	0.000000%	2.142857%	0.486855%	1.574803%	0.943396%	1.428571%	1.732074%	0.000000%	0.000000%	0.137552%	0.689655%	1.694915%	1.675978%	0.787402%	0.000000%	0.000000%	0.000000%	2.702703%	0.463320%	0.806452%	1.492537%	1.949861%	1.830791%	0.000000%	2.127660%	0.793651%	0.738007%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/4/insertion_error_rate	NA	1.724138%	0.393701%	2.343750%	0.000000%	0.436681%	0.000000%	0.000000%	0.000000%	0.559519%	0.909091%	0.877193%	0.000000%	0.000000%	0.488281%	0.000000%	0.000000%	0.000000%	0.694444%	0.000000%	0.000000%	0.194742%	0.787402%	0.000000%	0.000000%	0.436047%	0.000000%	0.000000%	0.045851%	0.689655%	1.694915%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	2.702703%	0.077220%	0.806452%	0.000000%	0.278552%	0.638003%	0.000000%	0.531915%	0.000000%	0.369004%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/4/low_quality_reads	NA	41	191	83	98	163	65	46	1689	3820	52	57	87	34	500	30	112	243	90	19	122	479	100	63	99	3776	54	60	994	114	78	150	131	55	52	56	58	641	79	114	175	1829	215	129	87	184	152
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/4/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/4/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/4/percentage_discordant	NA	5.882353%	1.709402%	4.942966%	4.878049%	8.237986%	3.381643%	5.228758%	2.771536%	3.360420%	5.025126%	3.773585%	6.849315%	17.500000%	3.270745%	14.634146%	6.143345%	4.935834%	3.396226%	4.918033%	5.900621%	4.007514%	6.930693%	6.310680%	8.070175%	3.828191%	5.154639%	6.701031%	4.773341%	6.832298%	6.315789%	4.871795%	4.000000%	6.321839%	6.976744%	3.030303%	6.400000%	4.876894%	5.652174%	3.370787%	3.691275%	3.232357%	5.600000%	2.971216%	4.280156%	6.031128%	0.326629%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/4/percentage_effective	NA	48.739496%	54.273504%	48.669202%	44.817073%	52.402746%	49.758454%	50.980392%	53.108614%	60.512951%	55.276382%	53.773585%	41.095890%	17.500000%	62.023016%	18.292683%	45.733788%	68.410661%	54.339623%	37.704918%	43.478261%	64.308078%	41.914191%	51.456311%	49.122807%	63.211086%	46.907216%	47.422680%	65.475833%	45.031056%	31.052632%	45.897436%	59.764706%	35.057471%	28.682171%	37.878788%	29.600000%	61.316288%	53.913043%	56.460674%	60.234899%	61.008631%	57.120000%	17.455896%	49.027237%	52.723735%	2.750559%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/G/4/percentage_low_quality	NA	34.453782%	40.811966%	31.558935%	29.878049%	37.299771%	31.400966%	30.065359%	42.172285%	32.334518%	26.130653%	26.886792%	39.726027%	42.500000%	30.284676%	36.585366%	38.225256%	23.988154%	33.962264%	31.147541%	37.888199%	29.993738%	33.003300%	30.582524%	34.736842%	28.910497%	27.835052%	30.927835%	29.840889%	35.403727%	41.052632%	38.461538%	30.823529%	31.609195%	40.310078%	42.424242%	46.400000%	30.350379%	34.347826%	32.022472%	29.362416%	30.952784%	34.400000%	11.977716%	33.852140%	35.797665%	2.613031%
